Year,Area (m2)
1900,68796620
1901,79431391.63
1902,90066163.26
1903,100700934.9
1904,111335706.5
1905,121970478.1
1906,132605249.8
1907,143240021.4
1908,153874793
1909,164509564.7
1910,175144336.3
1911,185779107.9
1912,196413879.5
1913,207048651.2
1914,217683422.8
1915,228318194.4
1916,238952966
1917,249587737.7
1918,260222509.3
1919,270857280.9
1920,281492052.6
1921,292126824.2
1922,302761595.8
1923,313396367.4
1924,324031139.1
1925,334665910.7
1926,345300682.3
1927,355935454
1928,366570225.6
1929,377204997.2
1930,387839768.8
1931,398474540.5
1932,409109312.1
1933,419744083.7
1934,430378855.3
1935,441013627
1936,451648398.6
1937,462283170.2
1938,472917941.9
1939,483552713.5
1940,494187485.1
1941,504822256.7
1942,515457028.4
1943,526091800
1944,526091800
1945,526091800
1946,526091800
1947,526091800
1948,526091800
1949,526091800
1950,526091800
1951,526091800
1952,526091800
1953,526091800
1954,526091800
1955,526091800
1956,526091800
1957,526091800
1958,526091800
1959,526091800
1960,526091800
1961,526091800
1962,526091800
1963,526091800
1964,526091800
1965,526091800
1966,526091800
1967,526091800
1968,526091800
1969,526091800
1970,526091800
1971,526091800
1972,526091800
1973,526091800
1974,526091800
1975,526091800
1976,526091800
1977,526091800
1978,526091800
1979,526091800
1980,526091800
1981,526091800
1982,526091800
1983,526091800
1984,526091800
1985,526091800
1986,526091800
1987,526091800
1988,526091800
1989,526091800
1990,526091800
1991,526091800
1992,526091800
1993,526091800
1994,526091800
1995,526091800
1996,526091800
1997,526091800
1998,526091800
1999,526091800
2000,526091800
2001,526091800
2002,526091800
2003,526091800
2004,526091800
2005,526091800
2006,526091800
2007,526091800
2008,526091800
2009,526091800
2010,526091800
