years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1964,5.1,5.2,12.1,17.8,23.7,26.8,29.2,28.5,23.7,17.9,11.6,7.5
1965,8.7,6.8,9.3,19.1,22.4,27,28.7,26.6,24.1,17.8,14.4,8.4
1966,3.8,6.2,13.4,17.7,22.6,26.2,29.8,26,23.9,16.1,12.9,5.9
1967,6.2,9,16.1,20.5,21.8,26.5,27.9,26.5,22.6,18.3,12.3,5.3
1968,6.6,8.6,11.4,16.6,22,27.1,26.4,26.5,22.3,18.5,10.9,6.7
1969,9.1,9.4,8.1,18.5,22.3,26.5,29.2,29,23.8,16.4,10.4,7.9
1970,5.3,9.1,10.1,16.9,21.1,25.4,27.4,27.5,23.2,14.8,11,9.3
1971,7.7,8.1,13.4,16.8,21.9,26.7,27.8,24,22,17.2,11.4,7.2
1972,6.8,9,15.6,19.2,21.4,25.9,26.8,25.3,23,17.4,7.4,5.6
1973,4.3,6.3,11.8,14.2,20.6,25.2,26.7,26.5,22.8,17.9,12.8,7.5
1974,6.1,8.3,15.8,18.2,24.1,27,27.9,25.2,19.5,16.7,10.4,6
1975,6.9,8.4,11.6,15.3,20.4,26.4,25.5,26.2,21.1,17.8,10.9,6.9
1976,5.8,11.9,13.1,17.6,20.1,26.6,25.6,26.5,21.9,14.1,6.8,5.2
1977,3.9,9.2,11.2,17.1,22.9,27.4,28.5,29.3,26.3,18.3,12.4,9.5
1978,4.6,6.5,14.2,20.2,23,27.5,29.2,26.9,21.8,17.1,11.3,5.5
1979,2.9,7.4,11.7,17.3,21.3,24.4,28,25.3,23.1,19.3,9,6.7
1980,7,8.5,11.8,15.4,21.1,29.3,30,27.1,23.5,16,8.6,7.9
1981,6.3,8.7,11.3,17.5,21.3,26.5,27.5,24.7,22,17.2,13.2,8.9
1982,6.5,7.7,13.9,17.4,21,26.6,28.1,27.8,24.6,16.5,10.1,5.3
1983,4.1,8.6,12.9,14.1,21.2,25.3,28.2,27.7,25.2,18.7,13,4.1
1984,4.4,8.9,12.6,17.1,23.3,25.6,26.6,25.5,21.6,15.6,10.9,7.5
1985,4.6,6.6,13.1,18.3,22.3,25.5,27,27.9,22.9,16.5,12.7,5.6
1986,8,10.5,14.3,19.7,22,24.9,26.7,26.6,23.2,16.8,9.6,5.7
1987,5.6,8.8,10.5,14.9,20.6,24.7,27,27,22.1,18.6,11.1,5.5
1988,4.3,8.6,12.1,16.6,21.7,25.9,26.8,26.4,23.2,18.3,12.9,6
1989,7.1,8.1,14.4,19.2,24.1,26.7,28.4,27.1,22.5,18.6,11.9,3.7
1990,7.3,9.8,12.8,18.1,22.4,30.2,26.5,25,23.8,17.6,12.5,7.1
1991,5.3,10.2,13.9,18.1,23.8,27.1,26.4,26.5,21.1,18.5,9.3,6.9
1992,5.3,9.7,13.6,17.8,20.8,25.3,27.9,26.7,24.1,18.9,9,6.8
1993,7.4,8.8,13.1,17.9,22.1,27.3,29,28.1,23.3,17.3,9.6,7.7
1994,6.9,8.8,13.8,17.9,22.6,29.5,29.5,28.5,23.8,18.3,12.4,9
1995,7.4,12,13.1,16.7,22.3,26.3,28.6,28.2,23.3,18.4,12.9,7.9
1996,7.5,10.9,11.3,17.6,26.4,28.3,28.5,26.6,22.6,17.6,11.6,8.5
1997,5.9,7.2,14.1,14.9,21.9,26.3,28.6,27.9,25.2,17.6,10.3,4.4
1998,8.3,9.6,12.1,15.8,24.7,29.1,30.2,27.3,26.4,19.3,13,7.3
1999,9.5,12.2,13.7,18.2,22.6,26.5,28.2,28.8,23.9,17.9,14.1,6.6
2000,8.9,12.6,14.4,19.4,25.8,26.6,29.5,28.3,25.2,17.1,7.7,5.4
2001,5,10,11.1,18.5,23.7,28.1,29.9,28,24.8,18.6,12.4,6.8
2002,7.6,7,11.2,20,23.6,28.6,27.9,28.7,23.8,17.1,9.9,6.6
2003,7.8,8.7,13.4,18.7,23,26.5,28.1,28.2,23.6,19.3,12.5,7.2
2004,7.4,7.1,14.6,16.5,23.2,26.2,26.9,25.8,22.4,17.5,9.3,5.8
2005,8.6,8.6,11.6,16.4,21.3,27.1,28.4,26.3,25.4,17.8,12.3,6.8
2006,9.3,9.3,13.6,20.3,24.9,27.7,28.7,26.9,21.5,17.4,12.5,6
2007,3.9,8.7,14.3,15.6,20.2,25.8,26.6,27.6,24.7,19.4,11.5,7.6
2008,5.5,10.2,12.9,17.3,22.4,29.1,26.8,26.7,22,17.3,10.9,7
2009,7.1,10.9,13.7,17.1,23.2,27.5,28.2,27.6,22.5,17.1,11.8,4
2010,5.3,6.9,11.4,17.4,21.9,28.7,26.2,27.7,24.9,18.5,10.9,8.4
