Year,Area (m2)
1900,68796620
1901,68796620
1902,68796620
1903,68796620
1904,68796620
1905,68796620
1906,68796620
1907,68796620
1908,68796620
1909,68796620
1910,68796620
1911,68796620
1912,68796620
1913,68796620
1914,68796620
1915,68796620
1916,68796620
1917,68796620
1918,68796620
1919,68796620
1920,68796620
1921,68796620
1922,68796620
1923,68796620
1924,68796620
1925,68796620
1926,68796620
1927,68796620
1928,68796620
1929,68796620
1930,68796620
1931,68796620
1932,68796620
1933,68796620
1934,68796620
1935,68796620
1936,68796620
1937,68796620
1938,68796620
1939,68796620
1940,68796620
1941,68796620
1942,68796620
1943,68796620
1944,68796620
1945,68796620
1946,68796620
1947,68796620
1948,68796620
1949,68796620
1950,68796620
1951,68796620
1952,68796620
1953,68796620
1954,68796620
1955,68796620
1956,68796620
1957,68796620
1958,68796620
1959,68796620
1960,68796620
1961,68796620
1962,68796620
1963,68796620
1964,68796620
1965,68796620
1966,68796620
1967,68796620
1968,68796620
1969,68796620
1970,68796620
1971,68796620
1972,68796620
1973,68796620
1974,68796620
1975,68796620
1976,68796620
1977,68796620
1978,68796620
1979,68796620
1980,68796620
1981,68796620
1982,68796620
1983,68796620
1984,68796620
1985,68796620
1986,68796620
1987,68796620
1988,68796620
1989,68796620
1990,68796620
1991,68796620
1992,68796620
1993,68796620
1994,68796620
1995,68796620
1996,68796620
1997,68796620
1998,68796620
1999,68796620
2000,68796620
2001,68796620
2002,68796620
2003,68796620
2004,68796620
2005,68796620
2006,68796620
2007,68796620
2008,68796620
2009,68796620
2010,68796620
