years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,6.3,6.4,11,14.2,19.5,24.8,25.2,25.2,22.2,16.7,10.1,5.1
1901,6.1,5,10.1,14,19.8,24.7,25.8,26.3,21.2,16.3,10.3,4.9
1902,4.6,7.4,10,17.2,20.8,25.5,24.3,25,20.6,15.8,9.9,5.5
1903,5.7,2.9,9.7,16,19.1,21.1,27,26.2,21.8,14.5,9.9,4.2
1904,3,9.4,13.2,15.3,19.9,23.7,25.1,24.7,21,14.9,8.8,4.5
1905,3.8,-0.1,11.8,13.4,19.6,24.6,24.2,25.4,22.1,14.2,9.7,1.4
1906,3.8,6.2,10.1,14.6,19.9,24.9,24.1,23.9,21.7,13.4,6.1,7.5
1907,7.8,9.3,14.6,14.8,17.1,22.8,25.7,25.7,21.6,15.3,7.3,5.9
1908,4.9,6.1,13.7,15.2,18.8,24.3,24.1,24.2,20.3,14.1,7.9,5.5
1909,7.3,7.2,9,15,18.5,24.7,26.5,25,20.5,14.8,11.5,1.2
1910,5.8,5.3,14.1,15.3,20,25.4,27.3,25.8,22.5,14.6,10.5,5.3
1911,8.6,6.5,12.8,15.9,19.9,24.9,25.5,25.5,23.5,14.7,7,1.7
1912,3.9,5,8.8,13.6,20.1,23.3,26.3,25.4,19.8,14.4,7.7,1.8
1913,2,5,8.6,14.5,21,22.6,26,25.6,19.2,14.6,10.8,2.7
1914,8.3,6,9.5,14.9,19.6,24.4,25.4,25.3,22.5,15,10.4,1.2
1915,2.5,7,6.1,14.4,18.5,24.1,25.6,23.8,21.1,15.7,10.4,5.9
1916,6.1,8.9,13.9,14.1,20.1,25.9,25.9,23.7,20.5,14.7,7.9,4.3
1917,4.1,6.8,9.2,14.2,16.8,24.1,27.2,25.3,21.8,15.1,10.5,5.7
1918,1,7.8,12.2,14.1,19.8,25.2,26.4,25.3,20.1,16,6.5,0.8
1919,1.1,6.2,9.7,15.3,19.3,21.7,25,25.8,21.5,15.8,8,4.4
1920,3.2,8.3,9.6,12.9,19.5,22.9,25.7,23.4,22.2,15.2,7.9,4.7
1921,6.2,7.3,12.6,14,20.1,22.4,24.8,25.4,23.8,17,10.8,7.7
1922,2.7,6.5,9.4,14.8,20.1,23.8,26.5,26.6,22.8,15.5,8.4,6.9
1923,7.5,6.9,8.3,15.3,20.3,25.2,25.9,25.2,21.4,14.1,8,1.5
1924,2.3,6.4,8.2,13.9,18.5,26.5,25.6,26.4,21.3,15.9,10.8,2.4
1925,2.2,9.5,12.5,17.8,20.4,25.6,26.7,23.5,21.6,14.9,8.3,3.2
1926,1.6,8.8,8.4,13,18.7,24.2,24.8,25.4,22.6,16.6,9,4.3
1927,6.5,9.6,10.2,16.2,22.4,24,26.2,25.8,21.7,16.5,12.6,2.6
1928,5.7,5.1,12.2,13.7,19.8,25.3,26.3,23.6,20.5,17.3,8.2,4.6
1929,4.3,3.1,9.7,15.8,18.5,24.5,25.5,25.3,21.7,16,4.7,4.8
1930,0.9,9.9,8.6,17.6,19,24.7,26.3,26.1,23.1,16,8.6,3.5
1931,4,7.7,8.7,13.7,18.4,25.2,26.2,24.2,24.6,17.7,9.5,3.1
1932,3.5,9.5,8.1,15.6,19.3,24.4,26.5,25.7,20.1,13.9,8.5,1.7
1933,5,3.2,11.7,13.3,19.2,25.1,27.1,25.6,23.9,17.7,10.5,8.2
1934,4.9,8.1,10.4,16.9,21.8,26.5,28,27,22.3,18.5,11.3,6.3
1935,7.2,7.1,12.6,16.2,17.8,24.5,25.8,26.3,19.6,16.8,9.3,4.7
1936,4,6.7,12.1,15.5,20.5,25.5,26.2,25.8,21.6,14.4,8.1,5.9
1937,2.6,7.6,8.2,15.9,20.7,24.9,26.7,26.7,22.8,16.9,9,4.9
1938,5.3,8.3,12.7,15.2,20.2,24.9,25.4,25.9,22,16.8,7.5,5.4
1939,5.6,4.3,11.4,15.9,20.9,26.2,26.2,24.6,23,15.8,7.7,7.1
1940,2.2,6.5,11.4,15,20.1,23.6,26.2,24.6,22.2,16.2,7.4,6.9
1941,5,7.8,8.4,13.9,19.2,22.4,24.8,24.5,20.8,15.8,9.3,5.5
1942,3.8,5,8.9,14.3,19.2,24.9,25.7,24.6,20.5,15.3,11.4,6.9
1943,5.5,8.8,10.5,17.8,20.1,25.5,25.9,27.7,22.2,15.1,8.3,3.4
1944,3.6,7,10.4,14.3,20,25.4,26.3,25.7,20.7,15.9,9.2,3.4
1945,5.5,8.8,11.8,13.9,21.6,24.4,25.3,26.1,22.3,15,10.8,4.9
