years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1946,3.5,6.9,11.7,18,19.6,25.2,26.3,26.2,22.5,16.8,8.4,7.4
1947,2.6,5.1,10,14.5,20.6,25.5,25.6,24.8,22.1,17.6,7,4.4
1948,1.6,5.8,7.9,17.3,21,26,26.6,25.6,21.6,15.3,7.4,7.5
1949,-0.7,7.1,12.2,14.3,21.4,25.3,27.1,25.4,22.2,14.8,12.3,4.8
1950,8,9.9,11.8,16.6,20.7,26.4,25.6,25.7,21.6,19.2,10.3,7.1
1951,4.6,6.3,10.2,14.9,20.7,25.9,28.3,27.1,23.2,17.9,8.4,6.1
1952,8.1,7.3,9.4,15.3,20.4,27.2,26,27.9,22.1,15.4,7.4,4.6
1953,8.7,6.1,13.1,15.5,19.3,27.7,27.8,26.2,22.7,16.3,9.7,2.8
1954,6.3,10.5,11,18.5,20.2,26.1,28.1,26.4,24.1,17.4,10.6,6.1
1955,4,5.4,11.8,16.5,20.6,24.8,25.6,26,23.2,16.7,10.1,6.8
1956,6.3,3.9,11.8,14.8,22.1,27.3,27.1,25.7,23.4,18,7.7,6.1
1957,6.1,11.4,11.1,14.5,19.3,25.3,28.1,26.5,21.7,14.9,7.4,6.9
1958,3.9,7.5,7.7,14.5,21.1,27.3,28.3,27,22.2,15.1,9.7,5.4
1959,4.5,6.5,10.1,15.3,21,25.6,25.7,26.7,23.8,15.7,7.6,5.9
1960,3.2,5,10.3,17.1,20.4,26.4,25.6,25.8,22.7,16.2,10.2,0.8
1961,2.5,7.2,10.9,15.2,21.1,25.1,25.8,25.4,21.5,16.2,6,5.3
1962,1.8,10.3,8.8,16,21.3,24.6,26.2,25.7,22.4,15.9,9.3,5.8
1963,1.1,7.7,11.2,17.4,21.2,25.2,28.1,26,22.9,18,10.3,2.8
1964,2.5,2.6,9.9,15.2,21.5,25.1,27.9,26.9,22.5,16.6,9.9,4.9
1965,6.8,4.9,7.7,16.8,20.7,25,27.5,25.1,22.2,15.9,12.4,6.2
1966,0.8,4.3,11.4,15.7,20.8,24.6,28.6,24.6,22,14.6,11.1,4.5
1967,4.8,7.3,13.9,18.2,20,24.3,26.5,24.6,20.8,16.1,9.6,2.6
1968,4.2,7.3,9.2,13.7,19.3,25.2,24.5,24.5,20.2,16.2,8.4,4
1969,7.5,7,6.1,16.4,20.3,24.7,27.9,27.4,21.9,14.8,8.6,5.8
1970,2.8,7.6,8.4,14.6,19.6,23.6,26.3,25.8,21.8,13.4,9.1,6.9
1971,5,6.3,11.3,14.8,20,25.5,26.6,23.4,20.8,15.5,9.5,5.1
1972,5.2,7.3,13.9,16.9,20,24.9,25.7,24.4,21.8,15.8,5.7,4.1
1973,3.1,5.4,10.7,12.2,18.9,23.7,25.9,25.1,21.2,16.3,10.6,5.3
1974,4.3,6.3,13.9,16.2,22.6,25.8,26.6,23.7,18.2,15.3,8.8,4
1975,4.8,5.5,9.9,13.5,18.3,24.4,24.4,25.1,19.9,16.1,9.4,5.4
1976,4.4,10.6,11.7,16.6,19.3,25.4,25.4,25,21.2,12.9,6,3.5
1977,2.7,7.9,10.1,15.9,20.8,26.8,27.1,27.7,23.5,17.3,11.2,7.6
1978,2.5,5.2,12.1,18.1,21.1,25.8,27.8,25.3,20.6,15.8,9.5,3.4
1979,1.3,5.9,10,15.6,19.5,23.3,27.1,24.4,22,17.5,6.7,4.4
1980,4.5,6.5,10.2,13.8,19.4,28.3,29.1,25.9,22.1,14.3,6.9,6.5
1981,5,7.3,10.5,17,20.1,26,26.6,24.2,21.1,15.7,11.5,7
1982,3.9,5.5,11.5,15.5,19.7,24.7,27.1,26.7,23,14.9,8.3,3.4
1983,3.5,6.9,11.1,12.3,19.1,23.8,27.4,27.1,24.3,17,11.1,1.8
1984,3.2,7.5,10.6,15,21.9,24.4,26,24.6,21,13.9,9.4,5.5
1985,2.9,5.3,12.1,16.8,20.8,24.3,26.1,26.7,21.7,15.7,11.4,4.4
1986,6.3,8.1,12.6,17.7,20.5,23.9,26,25.8,22.2,15,8,4.2
1987,3.7,7,9.3,13.7,19.3,24.2,26.4,25.8,21.1,17.4,9.4,3.8
1988,2.6,6.7,10.6,14.9,19.9,24.9,25.8,25.6,22.1,17.3,11.6,4.4
1989,5.5,6.4,13.2,18,22.8,25.4,27.2,26.1,21.5,17.3,9.9,2.1
1990,4.8,7.8,10.9,16.4,20.6,29,26.3,24.7,23.3,16.3,10.9,5
1991,3.7,8.9,12.1,16.7,22.5,26,25.4,25.3,19.8,16.6,7.5,4.8
1992,3.1,7.9,11.9,16.4,19.3,23.6,26.6,25.7,22.9,17.3,7.4,4.4
1993,5.3,7.1,11.6,16,20.5,26.1,27.9,26.4,21.7,15.2,7.1,5.3
1994,4.8,6.1,11.8,15.7,20.5,28,28.4,27.7,22.7,16.8,10.5,7.4
1995,6,10.8,11.7,15,21.1,25.2,27.6,27.6,22.2,17.2,11.4,6.4
1996,5.8,9.4,9.8,16.3,25.4,27.2,27.5,25.8,21.4,15.9,9.9,6.5
1997,3.5,5,12.2,12.8,20,24.3,27.2,26.2,23.3,15.8,8.2,1.5
1998,4.2,7.2,9.8,13.4,22.2,26.9,28.5,25.6,25,17.4,11.1,5.5
1999,7.3,9.7,11.7,15.3,19.7,24.3,26.6,26.8,22.1,16.2,12,4.3
2000,6.6,10.3,12.1,17.2,24,25.6,28,27.2,24.1,16,6.4,3.7
2001,2.7,8.3,9.8,16.9,21.7,26.7,28.9,26.6,23.3,17.2,11.1,5.1
2002,6,6,9.9,18.1,22,27.1,27.1,27.6,22.9,15.3,8.4,4.9
2003,6.3,7.5,12,17,22,25,28,26.9,22.8,18.2,11.1,5.8
2004,6,5.4,13.3,15.3,21.7,25.2,25.6,24.6,21.5,15.8,8.4,4.1
2005,7.1,7.5,10.3,14.6,19.8,26,27.5,25.2,23.8,16.1,10.5,5.1
2006,7.2,7.5,12.1,18.5,23.2,26.8,27.7,25.5,19.8,15.4,10.6,4.3
2007,1.7,6.8,12.4,14.1,18.7,24.5,25.6,26.5,23.5,17.9,9.8,5.9
2008,3.7,8.4,11.6,15.3,20.6,27.4,25.6,25.1,20.6,15.6,9.6,5.1
2009,5.5,8.9,12.3,15.1,21.1,25.9,27,25.9,21.1,15.4,10,2
2010,3.2,5.2,9.5,15.7,19.6,27,25.2,25.8,23.9,17.1,9,6.4
