Year,Area (m2)
1900,33912686.8
1901,33912686.8
1902,33912686.8
1903,33912686.8
1904,32374880
1905,32374880
1906,32374880
1907,32374880
1908,2428116
1909,32374880
1910,32374880
1911,32374880
1912,32374880
1913,32374880
1914,67016001.6
1915,12949952
1916,12949952
1917,12949952
1918,12949952
1919,12949952
1920,12949952
1921,12949952
1922,12949952
1923,12949952
1924,15782754
1925,12949952
1926,12949952
1927,12949952
1928,12949952
1929,12949952
1930,12949952
1931,12949952
1932,12949952
1933,12949952
1934,12949952
1935,12949952
1936,12949952
1937,12949952
1938,12949952
1939,10117150
1940,12949952
1941,12949952
1942,12949952
1943,12949952
1944,12949952
1945,12949952
1946,12949952
1947,12949952
1948,12949952
1949,12949952
1950,12949952
1951,12949952
1952,12949952
1953,12949952
1954,12949952
1955,12949952
1956,12949952
1957,12949952
1958,12949952
1959,12949952
1960,12949952
1961,12949952
1962,12949952
1963,12949952
1964,12949952
1965,12949952
1966,12949952
1967,12949952
1968,12949952
1969,12949952
1970,12949952
1971,12949952
1972,12949952
1973,12949952
1974,12949952
1975,12949952
1976,12949952
1977,12949952
1978,12949952
1979,12949952
1980,12949952
1981,12949952
1982,12949952
1983,12949952
1984,12949952
1985,12949952
1986,12949952
1987,12949952
1988,12949952
1989,12949952
1990,12949952
1991,12949952
1992,12949952
1993,12949952
1994,12949952
1995,12949952
1996,12949952
1997,12949952
1998,12949952
1999,12949952
2000,12949952
2001,12949952
2002,12949952
2003,12949952
2004,12949952
2005,12949952
2006,12949952
2007,12949952
2008,12949952
2009,12949952
2010,12949952
