years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1965,16.4,14.5,17.6,25.6,27.7,30,30.7,29.8,28.9,21.5,21.8,16.8
1966,10.7,12.8,18.8,24.4,25.1,27.7,29.9,31.1,28.9,22.7,19.5,14.7
1967,13.4,15.2,22.6,27.9,27.2,29.6,30.8,28.9,25.3,21.6,18.8,13.8
1968,12.3,12.9,16.8,23.4,26.6,28.1,28.8,29.5,27.1,24.5,17.8,15.1
1969,15.7,16.7,16.3,24.6,26,29.3,31.5,30.4,27.7,24.7,17.5,15.9
1970,11.2,15.4,17.6,25,24.2,28.3,29.1,30.2,27.3,22.1,16.8,19.3
1971,17,17.5,21.1,23.8,27.5,29.5,29.7,28.6,27,24.5,19.7,17.7
1972,17.1,16.3,22.4,26.2,25.6,28,28.6,29.4,29.3,24.7,16.2,13.7
1973,10.7,13.4,21.5,22.4,26,27.8,29,28.2,27.8,24.2,22,15.1
1974,15,16.7,22.8,23.9,28,28.3,29,30.5,26.2,22.6,17.9,13.5
1975,15.1,16.5,21.8,25.1,28,28.8,28.5,28.8,25.7,23.3,18.8,15.1
1976,13.2,18.5,21.3,23.9,24.7,28.7,27.7,28.6,27.6,19.5,14.2,12
1977,10.5,14.8,19.8,22.7,27.1,28.8,30.1,31.1,28.9,24,19.9,15.8
1978,10.8,11.8,19.3,24.8,28.3,29.7,31.1,30,27.5,22.4,19.5,14.8
1979,11.6,14,20.7,25.5,26,28.5,31.1,30.3,26,24.8,18.2,14.5
1980,15.6,14.8,20.8,23.1,28.1,31.5,32.1,30,29.7,22.8,15.9,14.9
1981,13.3,15.8,19.3,25.2,26.5,29,29.9,30.3,27.8,24.7,20.6,16.3
1982,15.9,14.3,21.2,24.3,26,29.7,31.5,31.3,29.1,23.5,19.2,15.4
1983,13.1,16.1,19.5,22.7,27.1,29.2,29.6,30.4,28,24.2,20.6,10.9
1984,11.5,16.3,21.1,25.3,26.7,28.8,30,30.2,26.8,25.4,19.1,19.2
1985,11,14,21.7,24.5,27,28.4,29.1,30.9,29.3,24.3,21.3,13.4
