,Jan,Fed,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,0.81,0.47,2.7,5.97,9.0,11.64,10.69,9.42,7.5,4.92,1.66,0.94
1962,0.11,1.33,2.11,5.02,10.0,12.05,11.46,10.37,8.16,5.38,2.18,0.87
1963,0.81,0.97,2.41,5.84,8.82,10.12,10.35,9.08,6.93,4.34,1.54,0.72
1964,0.69,0.15,1.79,5.08,7.86,9.24,10.05,9.69,7.86,4.13,2.07,0.96
1965,0.93,0.49,1.46,5.59,7.4,9.44,10.26,9.36,7.56,3.75,3.21,1.34
1966,0.41,0.15,2.67,4.8,7.84,9.63,10.4,9.9,7.12,4.62,1.82,0.04
1967,0.1,0.89,3.12,6.03,7.42,9.92,10.21,8.79,7.06,3.72,2.05,0.94
1968,0.78,1.57,2.46,5.06,9.06,10.49,9.98,9.15,6.68,4.96,1.25,0.32
1969,0.55,0.9,1.69,5.56,9.15,13.42,11.95,10.74,9.06,5.71,2.55,0.66
1970,0.63,1.68,2.77,5.8,8.72,10.81,11.55,10.66,7.92,4.13,1.69,1.54
1971,0.8,0.55,2.56,5.22,9.23,11.03,11.56,9.87,8.43,5.52,2.63,1.22
1972,1.08,1.19,3.83,5.48,8.86,10.55,10.59,9.24,7.64,5.92,2.05,1.31
1973,0.54,1.7,2.77,4.94,8.77,10.65,11.29,9.06,7.9,4.66,2.42,0.17
1974,1.2,0.63,3.99,5.59,8.81,10.39,10.56,9.92,7.0,4.77,2.21,0.88
1975,0.32,1.19,3.76,5.86,8.1,11.02,10.16,9.8,6.71,4.68,1.98,0.86
1976,0.55,1.43,3.43,5.59,8.42,10.22,10.25,10.07,7.59,4.35,1.84,1.16
1977,1.23,0.81,2.7,5.07,8.07,9.68,10.96,10.83,8.51,5.37,1.8,0.45
1978,0.16,0.46,2.98,5.51,10.34,12.42,12.07,9.58,7.16,4.45,2.23,0.0
1979,0.95,1.47,3.48,6.0,8.34,10.36,12.51,10.15,7.58,4.89,1.61,1.27
1980,0.93,1.6,3.51,4.54,8.96,13.39,11.97,10.09,8.32,4.44,1.47,1.08
1981,1.03,1.61,2.67,5.36,9.12,11.36,11.91,9.97,8.4,5.46,1.87,1.13
1982,0.74,1.39,3.86,6.91,8.7,12.29,11.0,10.12,8.46,5.37,1.76,0.93
