Year,Area (m2)
1900,526091800
1901,526091800
1902,526091800
1903,526091800
1904,526091800
1905,526091800
1906,526091800
1907,526091800
1908,526091800
1909,526091800
1910,526091800
1911,526091800
1912,526091800
1913,526091800
1914,526091800
1915,526091800
1916,526091800
1917,526091800
1918,526091800
1919,526091800
1920,526091800
1921,526091800
1922,526091800
1923,526091800
1924,526091800
1925,526091800
1926,526091800
1927,526091800
1928,526091800
1929,526091800
1930,526091800
1931,526091800
1932,526091800
1933,526091800
1934,526091800
1935,526091800
1936,526091800
1937,526091800
1938,526091800
1939,526091800
1940,526091800
1941,526091800
1942,526091800
1943,526091800
1944,526091800
1945,526091800
1946,526091800
1947,526091800
1948,526091800
1949,526091800
1950,526091800
1951,526091800
1952,526091800
1953,526091800
1954,526091800
1955,526091800
1956,526091800
1957,526091800
1958,526091800
1959,526091800
1960,526091800
1961,526091800
1962,526091800
1963,526091800
1964,526091800
1965,526091800
1966,526091800
1967,526091800
1968,526091800
1969,526091800
1970,526091800
1971,526091800
1972,526091800
1973,526091800
1974,526091800
1975,526091800
1976,526091800
1977,526091800
1978,526091800
1979,526091800
1980,526091800
1981,526091800
1982,526091800
1983,526091800
1984,526091800
1985,526091800
1986,526091800
1987,526091800
1988,526091800
1989,526091800
1990,526091800
1991,526091800
1992,526091800
1993,526091800
1994,526091800
1995,526091800
1996,526091800
1997,526091800
1998,526091800
1999,526091800
2000,526091800
2001,526091800
2002,526091800
2003,526091800
2004,526091800
2005,526091800
2006,526091800
2007,526091800
2008,526091800
2009,526091800
2010,526091800
