years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1964,9.8,10.8,17.6,23.6,26.4,29.2,31.2,30.7,27.1,19.9,17.3,11
1965,13,10.7,14.6,23.4,24.6,27.9,30.1,29.5,28,20.7,19,13.6
1966,8.5,10.9,17.1,22.4,24.2,27.1,30.7,29,26.7,20.7,18.1,10.9
1967,10.7,12.6,20.7,25.1,26.4,29.8,30.8,28.9,24.9,20.6,16.1,10.5
1968,10.1,10.8,14.7,21.3,25.1,28,28.9,30.1,25.3,23,15.4,11.3
1969,12.6,14,14.4,22.2,24.1,29.2,31.7,30.7,27.1,21.2,14.4,12.9
1970,8.6,12.9,14.6,22,23.5,27.4,29.8,30,26.6,19.9,14.2,14.8
1971,13.7,14.3,18.6,21.7,26.2,27.8,28.4,26.3,26.1,22.2,17,13.7
1972,12.4,14,20.8,24.5,24.2,27.8,28.8,27.8,27.5,22.7,13.9,10.8
1973,8.7,11.1,19,20.1,25.5,26.9,28.6,28.7,27,22.3,18.6,12.1
1974,11.5,13.7,20.7,22.6,26.6,28.8,30,28.7,23.4,21.4,14.9,10.5
1975,11.8,13.2,17.9,21.7,25,27.9,27.4,28.8,24.8,21.7,16.7,12.2
1976,10.2,17.1,19.3,21.5,22.7,28.2,26.2,28.1,26.5,17.6,12.3,9.9
1977,7.9,12.8,17.4,20.6,24.5,28.5,30,31.4,30,22.8,17,13.1
1978,8.3,9.6,17.6,23.5,26.9,28.6,30.9,29.1,26,21,16.8,11.1
1979,7.1,11.2,17.4,21.7,23.9,26.5,30.6,29.5,27,24.2,14.7,12
1980,12.4,12.8,17.5,21.5,25.8,30.7,32.2,29.7,28.7,21.7,14.4,12.1
1981,11.2,12.9,16.7,22.5,24.7,27.1,29.2,29.6,27.1,22.6,17.6,12.8
1982,11.5,11.9,18.9,22.1,24.5,29.1,30.3,31,27.8,22.5,16.3,12
1983,10.8,13.2,17,20.9,25.6,27.5,30.2,30.3,27.6,23.2,17.4,7.5
1984,8.6,13.7,18.9,23,26.7,29.1,30.3,30.5,26.6,22.1,15.7,15.1
1985,8,11.1,18.4,22.2,26.4,27.9,28.7,31,27.9,22.4,18.4,10.4
1986,11.8,16,19.1,24.6,25.5,27.6,30.2,30.1,28,21.2,15.4,11.1
1987,10.9,13.5,14.6,19,24.2,26.5,28.6,30,26.5,22.2,15.9,12.4
1988,8.8,12.9,18.1,22.1,25.3,28.6,29.8,29.7,27.3,22.6,18,12.7
1989,13.2,11.8,17.5,22.5,28,29.4,31,30.1,26.6,22.4,16.6,7.2
1990,13.2,15.9,17.2,21,25.5,31.1,28.5,28.8,26.3,21.1,17.5,11.9
1991,10.7,14.6,19.5,23.4,27.1,29.1,29.5,30.7,25.5,23.5,14.2,13.4
1992,11,14.7,18.2,21,23.8,28.2,29.7,28.8,28.2,23.6,15,13.1
1993,11.3,14.1,17.9,21.8,25,28.3,30.2,31.1,26.8,22.3,14.4,14.2
1994,12.6,14.1,18.8,22.2,25.1,30.5,30.8,30.3,26.7,22.9,17.3,14.1
1995,12.4,15.8,17.2,22,26.5,28.3,31,31,27.4,22.1,16.4,12.5
1996,11.5,15,15.6,22,28.4,30.8,31.7,30.2,26.8,22,16.9,12.1
1997,10.1,12.4,18.6,18.8,24.4,27.4,30.4,31.3,28.8,21.7,15.3,10.4
1998,13.9,14.6,17.2,22.3,28.8,31.7,32.9,29.7,28.2,22.7,17.3,12.3
1999,13,17.6,18.6,23.1,26.1,28.7,29.2,30.9,27.6,21.6,18.1,12.5
2000,14.2,17.3,21,23.4,28.4,28.6,31.8,31.3,28.4,21.3,13.9,9
2001,10.1,14.5,15.4,23.4,26.7,30.6,31.5,31.2,26.8,21.8,17.8,12.3
2002,12.4,11.9,17.3,24.8,27.3,29.9,28.7,30.7,27.1,22.5,14.4,11.4
2003,10.6,12.5,18.2,22.8,28.2,28.8,28.5,30.2,25.9,21.8,16.9,12.2
2004,12.3,12.4,19.7,20.4,24.8,28.4,29.1,29.2,26.4,23.9,15.9,11
2005,13.7,13.7,17,21.5,24.7,29.1,31,29.4,29.7,22,17.4,11.2
2006,14,13.6,20.1,25.2,27.5,30.2,30.9,31.4,26.9,23,18.1,11.5
2007,8.7,13.1,19.5,19.8,23.7,26.8,27.3,28.8,27.1,23.2,17,12.3
2008,10.8,15.4,17.9,22.5,27,30.8,29.1,29.3,25.7,21.7,16.8,11.9
2009,12.1,16.2,18.5,21.9,26.9,30.5,32.2,31.8,26.3,21.6,16.1,9.4
2010,9.7,10.6,15.4,21,25.3,29.3,28.6,31.1,27.5,22.6,17.2,11.8
