years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,2.3,1.5,6.3,7.6,14.4,19.1,20.7,19.7,16.2,11.6,6.8,1.2
1901,1.5,1.6,3.8,8.3,13.7,18.5,21.4,20.9,16.1,11.4,6.4,1.6
1902,0.8,3.1,2.9,10.9,14.7,20.3,20,20.6,15.7,11.2,5.1,0.9
1903,0.8,-3.6,4.5,8.7,12.4,15.5,20.8,20.6,15.7,10.1,6.6,0.6
1904,-0.9,5,7.2,9.1,14,17.5,20.4,19.6,16.8,10.3,6,0.7
1905,-1,0,6.9,7.8,13.4,19,19.2,20.3,16.5,9.6,5.3,-2
1906,-0.1,1.6,4.2,8.6,13,18,18,18.6,15.4,8.5,3.2,3.1
1907,2.2,5,8,8.2,10,16.1,19.8,19.3,16.1,10.3,2.8,1
1908,0,0.7,7,9,11.8,17.5,19,18.5,15.1,8.2,2.2,0.5
1909,3.5,1.3,2.8,7.6,11.3,18.3,21.1,19.9,14.9,9.9,6.3,-4.1
1910,1,-0.5,7.9,9.3,13.6,18.8,21.3,19.9,17.6,10.3,6.1,1
1911,3.1,-0.9,6,9.2,13.9,18.7,19.4,19.4,17.7,8.8,1.9,-5.3
1912,-0.2,-1.2,2.8,6.5,12.6,15.9,19.6,19.1,13.6,8.9,4,-2.2
1913,-2.8,-1.1,2.9,8.3,14.2,16.6,20,19.7,13.6,8.5,6.4,-5.4
1914,2.8,1,4.2,8.5,13.1,18.3,19.3,18.9,16.6,9.4,5,-2.7
1915,-2.6,0.7,1.5,8.9,11.7,17.4,19.5,17.9,15.4,10.1,4.7,0.9
1916,0.3,3.3,7.1,7.7,13.3,18.7,20.7,19.1,15.5,10.1,3,-1.9
1917,-1.6,0.7,3.2,8.1,10.1,18,21.7,19.7,16.8,11,6.6,4.2
1918,-3.3,3.1,6.9,7.7,13.7,20.4,21.3,19.9,15.7,11.3,2.5,-2
1919,-3.7,0,3.6,9.5,13.6,15.8,20.3,20.5,17.3,9.9,4.3,3.2
1920,2.3,3.8,4.3,6.6,13.5,17.3,20.2,18.3,15.6,9.7,4.3,0
1921,2.2,2.8,6.8,7.5,13.3,16.9,19.6,19.5,17.4,11.6,7,4.4
1922,-1.5,1.7,3.8,8.5,13.7,19.2,21.2,21.6,17.4,10.8,4,2.3
1923,2.8,0.1,2.3,8.2,13.3,18.1,21,18.9,14.7,8.2,4,-1.3
1924,-2.8,2.6,0.7,8.3,12.6,19.8,19.9,19.8,16,11.2,5.7,-2.9
1925,-2.9,3.4,6.7,11,15.1,19.3,21.3,18.6,15.8,8.7,3.3,-1.2
1926,-3.3,3.1,3.3,8.3,12.5,17.7,19.2,19.2,17.7,11.7,5.5,-0.8
1927,3.3,3.7,5.4,9.2,15,17.1,19.8,18,15.3,10.1,7,-2.6
1928,1.5,-0.4,5.3,6.9,12.3,17.3,19.7,17.5,15.3,10.7,1.7,-1.8
1929,-1.5,-4,4,8.4,12.9,17.6,19.1,18.2,14.9,8.9,0.4,1.4
1930,-3.8,4.4,2.5,11.5,11.8,19,19.8,19.6,16.2,10.2,3.2,-1.8
1931,-0.8,2,2.4,8.3,12.2,19.2,20.4,18.8,17.9,11.1,3.6,0.5
1932,-2.4,4,2.7,9.1,13.4,16.9,20.7,20.2,15.4,9.6,5.2,-3.5
1933,-0.2,-2.5,5.7,7,13.1,18.9,21.1,19.4,18.4,12.3,5.7,5
1934,0,3.7,6.3,10.5,16,19.3,22.4,21.3,15.8,12.6,4.7,1.2
1935,2.8,1.9,6.1,9.2,10.5,18,20.9,19.8,15.1,10.1,4.3,-0.1
1936,-0.7,2.3,5.6,9.6,14.9,19.5,20.7,20.4,15.3,9.3,3.6,0.9
1937,-4.2,1.6,2.4,9,14.5,17.7,20.4,21.1,16.9,11.4,4.5,0.6
1938,-0.6,1.2,5.8,9,12.9,18.5,19.5,20.5,15.8,11,2.9,1
1939,-0.9,-3,5.6,9.3,13.5,18.7,20.3,18.9,17.2,9.8,3.1,2.1
1940,-2.1,0.6,4.9,8.8,13.9,18.3,20.1,19.2,16.7,11.3,2.7,0.9
1941,-0.6,2.6,2.9,6.9,14,16.1,18.9,18.9,15.3,9.8,5.1,0.9
1942,-0.4,-1.7,2.3,8.7,12.4,17.4,19.6,19,14.8,9.7,6.1,2.1
1943,0.2,3.2,3.4,10.6,13.1,18.4,20.2,21.2,15.9,9.6,3,-3.1
1944,-3.6,0.3,2.9,6.5,12.6,17.5,19.6,20.1,15.8,10.9,4.1,-0.2
1945,-0.9,2.8,4.3,6.3,13.9,16.7,20.3,20.5,16.1,11,5,-0.5
1946,-1.1,1.2,4.8,12,12.2,19.5,20.8,20.2,17.3,10,3,3.1
1947,-1.1,1.1,3.6,8.1,14,17.9,20.9,20,17.6,12.1,1.4,-0.7
