years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1948,-2.3,-1.5,-0.2,10.3,13.3,17.4,20.1,20,17.3,10.5,2.2,2
1949,-4.1,0.1,5,8.6,13.3,17.3,20.2,19,16.6,9.8,7.4,-0.6
1950,1.3,2.9,4.3,10.1,12.9,18.6,19.3,18.2,15.3,14.1,5.4,2.6
1951,-1.3,1.4,3.5,7.7,13.4,17.3,21.8,20,16.6,10.6,2.5,0.4
1952,1.4,1.1,1.9,8.2,13.3,20.4,20.4,20.9,15.6,10.5,1.4,-1.5
1953,3.5,-0.3,5.7,8.1,11.7,20.6,21.3,19.5,16.4,10.4,5.1,-1.6
1954,0.8,5.1,3.7,11.5,13.9,19.4,21.7,19.9,17.9,11.8,5.7,0.7
1955,-1.3,-1.6,4.9,8,12.5,16.6,19.7,19.6,16.7,11.2,4.8,2.7
1956,2.2,-0.8,5,7.6,15.5,20.3,20.5,19.4,17.6,11.6,2.4,0.8
1957,0.8,5.6,4.7,6.8,11.7,18,21.7,19.6,14.9,10,0.2,2.6
1958,-0.9,3.2,0.3,6.6,14.3,18.8,20.5,20.2,16.4,10,5.1,2.5
1959,-1.5,0.7,3.4,8.1,13.4,18.3,19.5,19.9,15.3,9.4,3.2,0.6
1960,-3,-1.9,4.4,9.3,12.6,18.4,19.1,19.6,16.8,9.7,5,-2.5
1961,-2.4,1.2,4.1,7,13.4,18,19.3,18.7,14,9.7,3.1,-1.5
1962,-2.6,3.1,1,9.2,13.8,16.6,19.2,19.5,16,11.7,5.5,1.7
1963,-4,1.8,4.4,10.1,14.6,17.8,22,19.8,17.2,13,5.4,-0.5
1964,-2,-3.4,1.9,7.6,14.2,18.4,21.5,19.8,16.3,11,4.6,0.5
1965,0.8,-0.2,0.9,8.9,12.1,16.1,20.2,18.1,14.9,10.2,6.9,1.4
1966,-2.4,-0.9,5,9.2,14.3,18.3,22.1,18.5,16.5,10,6.4,-0.2
1967,0,1.3,7.3,10,12.4,17.7,20.5,18.2,15.1,11.3,5.3,-2.1
1968,-0.3,2.9,4.2,7,12.8,18.6,19.7,18.5,15.1,11.2,3.9,0.1
1969,3.6,1.3,0.2,9.6,13.5,16.2,21,20.8,16,8.7,3.3,1.8
1970,-1.1,2.9,2.2,6.9,13.4,16.6,20.8,20.4,14.9,7.8,4.7,1.9
1971,0.1,0.9,4.8,7.9,12.2,18.4,19.7,17.8,14.7,9.4,4.6,-1.2
1972,0.8,2.8,7.2,9.2,12.6,18,18.9,18.1,15.3,10.9,0.1,0.4
1973,-1.2,0.2,3.3,4.1,12,16.4,19.6,19.2,15.1,10.6,6.3,0.8
1974,-1.3,0.1,7.1,8.1,15.2,18.3,20.5,17.5,13.8,10.9,3.7,-2.5
1975,-1.3,-0.2,4,6.3,11.9,17.1,19.4,19.9,14.7,10.9,4.4,1.9
1976,-0.7,4.5,4.6,9.4,12.3,17.7,19.8,18.7,15.7,8,2.2,-0.4
1977,-2.4,1.7,3.1,8.8,13.9,19.5,20.8,20.5,17.1,11.6,5.8,3.9
1978,-0.5,0.8,5.7,10.5,12.6,18.7,21.5,19.4,16.4,11.6,5,-1.5
1979,-4.1,0.2,4.7,8.7,12.8,16.8,20.7,18.6,16.5,12.6,1.5,1.6
1980,1.1,2.8,4,6.7,12,19.6,23.1,20.2,17,9.2,4,4.7
1981,1.1,2.7,4,11,13.2,20.1,20.9,18.9,16.2,10.9,6.8,2.8
1982,0.3,-0.3,5,8.9,12.6,17,20.7,20.3,16.3,9,3.7,-0.7
1983,0.1,0.6,4.3,5.7,11.7,15.8,20.7,20.7,18.2,11.1,5.4,-2.4
1984,-2.5,2,3.3,7,15.3,17.9,20.4,19.5,15.9,7.3,4.6,0.7
1985,-2,-0.4,5.1,9.6,13.5,18.1,20.1,20,15.4,10.3,5.3,0.2
1986,2.8,2.9,6.9,10.3,13.3,17.4,20.1,20.2,15.3,9.5,3.4,-0.9
1987,-1.7,1,3.2,8.5,12.5,17.3,20,19.3,15,11.6,4,-1.6
1988,-4,3.1,3.6,8.1,12.5,18.5,20.1,19.4,14.8,11.6,6,-0.6
1989,0,-0.1,7.4,10.7,15.3,17.6,20.7,19.3,16.1,10.4,5.7,-1.4
1990,-1.2,0.1,5.2,9.4,12.3,20.8,19.5,18.1,16.8,10.9,6,-1.1
1991,-0.8,2.9,4.4,8.7,14,18.1,19.4,19.2,15.2,10.7,2.8,-0.5
1992,-1,2.5,5.2,10.7,13.4,17,19.9,19,16.6,11.6,1.6,-0.4
1993,0.7,1.7,5.3,9.1,13.2,18.4,20.9,19.2,15.4,9.8,2.7,0.5
1994,0.7,0.6,4.9,8.3,13.7,20.1,20.9,20.8,16.3,10,4.6,2.4
1995,0.2,4.7,5.1,6.6,11.9,16.6,19.6,21.2,16.2,10.7,6.8,1
1996,0.6,4,3.7,9.2,17,19.3,20.4,19.1,14.6,9.7,4.8,1.3
1997,-2.2,0.1,6.3,5.6,13.2,17.3,20.5,19.2,17.7,9.8,3.4,-1.5
1998,1.3,1.3,3.3,6.1,14.5,19,21.1,19.3,17.9,10.5,6.2,1.4
1999,2.4,4.2,5.9,7.4,12.5,17.4,20.7,19.3,15.7,10.8,7.4,0.4
2000,2.6,4.9,5.5,10.5,16.3,18.8,21.1,20.9,17.7,10.1,0.9,0.1
2001,-3.6,1.1,4.3,10,14.3,19,21.9,19.5,16.8,11.7,6.3,1
2002,0.8,0.6,4.1,11.9,14,20.3,20.5,20.9,16,9.3,4.4,0.2
2003,3.8,0.8,4.8,9.4,14.6,17.3,22.6,20.9,16.2,13.1,5.5,2
2004,1.2,-0.9,7.5,8.3,15.1,18,19.8,18.2,15.5,10.1,3.7,1.2
2005,3.3,2.4,3,8.6,13.4,18.2,20.8,19.1,17.1,10.9,6,1.2
2006,1.9,2,5.2,11.3,15.5,20.1,21.6,19.5,13.7,10,5.9,0.1
2007,-2.8,2.1,6.5,7.9,12.8,17.5,20.3,21.6,17.2,11.6,5.8,0
2008,-2.1,1.8,4.1,8.2,12.8,19.2,20.1,19.4,15.3,10.9,5.5,0.7
2009,2.4,3.1,6.2,8.1,14.9,17.7,21.1,19.5,15.3,8.8,6.7,-2.8
2010,-0.3,-2.1,2.7,9.7,13,20.2,20.6,20.4,18.1,11.6,4.2,3.8
