Year,Area (m2)
1900,46538890
1901,46538890
1902,46538890
1903,46538890
1904,46538890
1905,46538890
1906,46538890
1907,46538890
1908,46538890
1909,46538890
1910,46538890
1911,46538890
1912,46538890
1913,46538890
1914,46538890
1915,46538890
1916,46538890
1917,46538890
1918,46538890
1919,46538890
1920,46538890
1921,46538890
1922,46538890
1923,46538890
1924,46538890
1925,46538890
1926,46538890
1927,46538890
1928,46538890
1929,46538890
1930,46538890
1931,46538890
1932,46538890
1933,46538890
1934,46538890
1935,46538890
1936,46538890
1937,46538890
1938,46538890
1939,46538890
1940,46538890
1941,46538890
1942,46538890
1943,46538890
1944,46538890
1945,46538890
1946,46538890
1947,46538890
1948,46538890
1949,46538890
1950,46538890
1951,46538890
1952,46538890
1953,46538890
1954,46538890
1955,46538890
1956,46538890
1957,46538890
1958,46538890
1959,46538890
1960,46538890
1961,46538890
1962,46538890
1963,46538890
1964,46538890
1965,46538890
1966,46538890
1967,46538890
1968,46538890
1969,46538890
1970,46538890
1971,46538890
1972,46538890
1973,46538890
1974,46538890
1975,46538890
1976,46538890
1977,46538890
1978,46538890
1979,46538890
1980,46538890
1981,46538890
1982,46538890
1983,46538890
1984,46538890
1985,46538890
1986,46538890
1987,46538890
1988,46538890
1989,46538890
1990,46538890
1991,46538890
1992,46538890
1993,46538890
1994,46538890
1995,46538890
1996,46538890
1997,46538890
1998,46538890
1999,46538890
2000,46538890
2001,46538890
2002,46538890
2003,46538890
2004,46538890
2005,46538890
2006,46538890
2007,46538890
2008,46538890
2009,46538890
2010,46538890
